Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Barboach,Water Ground,Whiskers Pokémon,0.4,1.9,1. Oblivious2. AnticipationHydration (hidden ability),190,50,58,Medium Fast,"50% male, 50% female",50,48,43,46,41,60
Whiscash,Water Ground,Whiskers Pokémon,0.9,23.6,1. Oblivious2. AnticipationHydration (hidden ability),75,50,164,Medium Fast,"50% male, 50% female",110,78,73,76,71,60
Corphish,Water,Ruffian Pokémon,0.6,11.5,1. Hyper Cutter2. Shell ArmorAdaptability (hidden ability),205,50,62,Fluctuating,"50% male, 50% female",43,80,65,50,35,35
Crawdaunt,Water Dark,Rogue Pokémon,1.1,32.8,1. Hyper Cutter2. Shell ArmorAdaptability (hidden ability),155,50,164,Fluctuating,"50% male, 50% female",63,120,85,90,55,55
Baltoy,Ground Psychic,Clay Doll Pokémon,0.5,21.5,1. Levitate,255,50,60,Medium Fast,Genderless,40,40,55,40,70,55
Claydol,Ground Psychic,Clay Doll Pokémon,1.5,108,1. Levitate,90,50,175,Medium Fast,Genderless,60,70,105,70,120,75
Lileep,Rock Grass,Sea Lily Pokémon,1,23.8,1. Suction CupsStorm Drain (hidden ability),45,50,71,Erratic,"87.5% male, 12.5% female",66,41,77,61,87,23
Cradily,Rock Grass,Barnacle Pokémon,1.5,60.4,1. Suction CupsStorm Drain (hidden ability),45,50,173,Erratic,"87.5% male, 12.5% female",86,81,97,81,107,43
Anorith,Rock Bug,Old Shrimp Pokémon,0.7,12.5,1. Battle ArmorSwift Swim (hidden ability),45,50,71,Erratic,"87.5% male, 12.5% female",45,95,50,40,50,75
Armaldo,Rock Bug,Plate Pokémon,1.5,68.2,1. Battle ArmorSwift Swim (hidden ability),45,50,173,Erratic,"87.5% male, 12.5% female",75,125,100,70,80,45
Feebas,Water,Fish Pokémon,0.6,7.4,1. Swift Swim2. ObliviousAdaptability (hidden ability),255,50,40,Erratic,"50% male, 50% female",20,15,20,10,55,80
Milotic,Water,Tender Pokémon,6.2,162,1. Marvel Scale2. CompetitiveCute Charm (hidden ability),60,50,189,Erratic,"50% male, 50% female",95,60,79,100,125,81
Castform,Ice,Weather Pokémon,0.3,0.8,Forecast,45,50,147,Medium Fast,"50% male, 50% female",70,70,70,70,70,70
Kecleon,Normal,Color Swap Pokémon,1,22,1. Color ChangeProtean (hidden ability),200,50,154,Medium Slow,"50% male, 50% female",60,90,70,60,120,40
Shuppet,Ghost,Puppet Pokémon,0.6,2.3,1. Insomnia2. FriskCursed Body (hidden ability),225,35,59,Fast,"50% male, 50% female",44,75,35,63,33,45
Banette,Ghost,Marionette Pokémon,1.2,13,Prankster,45,35,194,Fast,"50% male, 50% female",64,165,75,93,83,75
Duskull,Ghost,Requiem Pokémon,0.8,15,1. LevitateFrisk (hidden ability),190,35,59,Fast,"50% male, 50% female",20,40,90,30,90,25
Dusclops,Ghost,Beckon Pokémon,1.6,30.6,1. PressureFrisk (hidden ability),90,35,159,Fast,"50% male, 50% female",40,70,130,60,130,25
Tropius,Grass Flying,Fruit Pokémon,2,100,1. Chlorophyll2. Solar PowerHarvest (hidden ability),200,50,161,Slow,"50% male, 50% female",99,68,83,72,87,51
Chimecho,Psychic,Wind Chime Pokémon,0.6,1,1. Levitate,45,50,159,Fast,"50% male, 50% female",75,50,80,95,90,65
Absol,Dark,Disaster Pokémon,1.2,49,Magic Bounce,30,35,198,Medium Slow,"50% male, 50% female",65,150,60,115,60,115
Wynaut,Psychic,Bright Pokémon,0.6,14,1. Shadow TagTelepathy (hidden ability),125,50,52,Medium Fast,"50% male, 50% female",95,23,48,23,48,23
Snorunt,Ice,Snow Hat Pokémon,0.7,16.8,1. Inner Focus2. Ice BodyMoody (hidden ability),190,50,60,Medium Fast,"50% male, 50% female",50,50,50,50,50,50
Glalie,Ice,Face Pokémon,2.1,350.2,Refrigerate,75,50,203,Medium Fast,"50% male, 50% female",80,120,80,120,80,100
Spheal,Ice Water,Clap Pokémon,0.8,39.5,1. Thick Fat2. Ice BodyOblivious (hidden ability),255,50,58,Medium Slow,"50% male, 50% female",70,40,50,55,50,25
Sealeo,Ice Water,Ball Roll Pokémon,1.1,87.6,1. Thick Fat2. Ice BodyOblivious (hidden ability),120,50,144,Medium Slow,"50% male, 50% female",90,60,70,75,70,45
Walrein,Ice Water,Ice Break Pokémon,1.4,150.6,1. Thick Fat2. Ice BodyOblivious (hidden ability),45,50,239,Medium Slow,"50% male, 50% female",110,80,90,95,90,65
Clamperl,Water,Bivalve Pokémon,0.4,52.5,1. Shell ArmorRattled (hidden ability),255,50,69,Erratic,"50% male, 50% female",35,64,85,74,55,32
Huntail,Water,Deep Sea Pokémon,1.7,27,1. Swift SwimWater Veil (hidden ability),60,50,170,Erratic,"50% male, 50% female",55,104,105,94,75,52
Gorebyss,Water,South Sea Pokémon,1.8,22.6,1. Swift SwimHydration (hidden ability),60,50,170,Erratic,"50% male, 50% female",55,84,105,114,75,52
Relicanth,Water Rock,Longevity Pokémon,1,23.4,1. Swift Swim2. Rock HeadSturdy (hidden ability),25,50,170,Slow,"87.5% male, 12.5% female",100,90,130,45,65,55
Luvdisc,Water,Rendezvous Pokémon,0.6,8.7,1. Swift SwimHydration (hidden ability),225,50,116,Fast,"25% male, 75% female",43,30,55,40,65,97
Bagon,Dragon,Rock Head Pokémon,0.6,42.1,1. Rock HeadSheer Force (hidden ability),45,35,60,Slow,"50% male, 50% female",45,75,60,40,30,50
Shelgon,Dragon,Endurance Pokémon,1.1,110.5,1. Rock HeadOvercoat (hidden ability),45,35,147,Slow,"50% male, 50% female",65,95,100,60,50,50
Salamence,Dragon Flying,Dragon Pokémon,1.8,112.6,Aerilate,45,35,315,Slow,"50% male, 50% female",95,145,130,120,90,120
Beldum,Steel Psychic,Iron Ball Pokémon,0.6,95.2,1. Clear BodyLight Metal (hidden ability),3,35,60,Slow,Genderless,40,55,80,35,60,30
Metang,Steel Psychic,Iron Claw Pokémon,1.2,202.5,1. Clear BodyLight Metal (hidden ability),3,35,147,Slow,Genderless,60,75,100,55,80,50
Metagross,Steel Psychic,Iron Leg Pokémon,2.5,942.9,Tough Claws,3,35,315,Slow,Genderless,80,145,150,105,110,110
Regirock,Rock,Rock Peak Pokémon,1.7,230,1. Clear BodySturdy (hidden ability),3,35,261,Slow,Genderless,80,100,200,50,100,50
Regice,Ice,Iceberg Pokémon,1.8,175,1. Clear BodyIce Body (hidden ability),3,35,261,Slow,Genderless,80,50,100,100,200,50
Registeel,Steel,Iron Pokémon,1.9,205,1. Clear BodyLight Metal (hidden ability),3,35,261,Slow,Genderless,80,75,150,75,150,50
Latias,Dragon Psychic,Eon Pokémon,1.8,52,Levitate,3,90,315,Slow,"0% male, 100% female",80,100,120,140,150,110
Latios,Dragon Psychic,Eon Pokémon,2.3,70,Levitate,3,90,315,Slow,"100% male, 0% female",80,130,100,160,120,110
Kyogre,Water,Sea Basin Pokémon,9.8,430,Primordial Sea,5,0,347,Slow,Genderless,100,150,90,180,160,90
Groudon,Ground Fire,Continent Pokémon,5,999.7,Desolate Land,5,0,347,Slow,Genderless,100,180,160,150,90,90
Rayquaza,Dragon Flying,Sky High Pokémon,10.8,392,Delta Stream,3,0,351,Slow,Genderless,105,180,100,180,100,115
Jirachi,Steel Psychic,Wish Pokémon,0.3,1.1,1. Serene Grace,3,100,270,Slow,Genderless,100,100,100,100,100,100
Deoxys,Psychic,DNA Pokémon,1.7,60.8,Pressure,3,0,270,Slow,Genderless,50,95,90,95,90,180
Turtwig,Grass,Tiny Leaf Pokémon,0.4,10.2,1. OvergrowShell Armor (hidden ability),45,50,64,Medium Slow,"87.5% male, 12.5% female",55,68,64,45,55,31
Grotle,Grass,Grove Pokémon,1.1,97,1. OvergrowShell Armor (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",75,89,85,55,65,36
Torterra,Grass Ground,Continent Pokémon,2.2,310,1. OvergrowShell Armor (hidden ability),45,50,236,Medium Slow,"87.5% male, 12.5% female",95,109,105,75,85,56
Chimchar,Fire,Chimp Pokémon,0.5,6.2,1. BlazeIron Fist (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",44,58,44,58,44,61
Monferno,Fire Fighting,Playful Pokémon,0.9,22,1. BlazeIron Fist (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",64,78,52,78,52,81
Infernape,Fire Fighting,Flame Pokémon,1.2,55,1. BlazeIron Fist (hidden ability),45,50,240,Medium Slow,"87.5% male, 12.5% female",76,104,71,104,71,108
Piplup,Water,Penguin Pokémon,0.4,5.2,1. TorrentDefiant (hidden ability),45,50,63,Medium Slow,"87.5% male, 12.5% female",53,51,53,61,56,40
Prinplup,Water,Penguin Pokémon,0.8,23,1. TorrentDefiant (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",64,66,68,81,76,50
Empoleon,Water Steel,Emperor Pokémon,1.7,84.5,1. TorrentDefiant (hidden ability),45,50,239,Medium Slow,"87.5% male, 12.5% female",84,86,88,111,101,60
Starly,Normal Flying,Starling Pokémon,0.3,2,1. Keen EyeReckless (hidden ability),255,50,49,Medium Slow,"50% male, 50% female",40,55,30,30,30,60
Staravia,Normal Flying,Starling Pokémon,0.6,15.5,1. IntimidateReckless (hidden ability),120,50,119,Medium Slow,"50% male, 50% female",55,75,50,40,40,80
Staraptor,Normal Flying,Predator Pokémon,1.2,24.9,1. IntimidateReckless (hidden ability),45,50,243,Medium Slow,"50% male, 50% female",85,120,70,50,60,100
Bidoof,Normal,Plump Mouse Pokémon,0.5,20,1. Simple2. UnawareMoody (hidden ability),255,50,50,Medium Fast,"50% male, 50% female",59,45,40,35,40,31
Bibarel,Normal Water,Beaver Pokémon,1,31.5,1. Simple2. UnawareMoody (hidden ability),127,50,144,Medium Fast,"50% male, 50% female",79,85,60,55,60,71
Kricketot,Bug,Cricket Pokémon,0.3,2.2,1. Shed SkinRun Away (hidden ability),255,50,39,Medium Slow,"50% male, 50% female",37,25,41,25,41,25
Kricketune,Bug,Cricket Pokémon,1,25.5,1. SwarmTechnician (hidden ability),45,50,134,Medium Slow,"50% male, 50% female",77,85,51,55,51,65
Shinx,Electric,Flash Pokémon,0.5,9.5,1. Rivalry2. IntimidateGuts (hidden ability),235,50,53,Medium Slow,"50% male, 50% female",45,65,34,40,34,45
Luxio,Electric,Spark Pokémon,0.9,30.5,1. Rivalry2. IntimidateGuts (hidden ability),120,100,127,Medium Slow,"50% male, 50% female",60,85,49,60,49,60
Luxray,Electric,Gleam Eyes Pokémon,1.4,42,1. Rivalry2. IntimidateGuts (hidden ability),45,50,262,Medium Slow,"50% male, 50% female",80,120,79,95,79,70
Budew,Grass Poison,Bud Pokémon,0.2,1.2,1. Natural Cure2. Poison PointLeaf Guard (hidden ability),255,50,56,Medium Slow,"50% male, 50% female",40,30,35,50,70,55
Roserade,Grass Poison,Bouquet Pokémon,0.9,14.5,1. Natural Cure2. Poison PointTechnician (hidden ability),75,50,232,Medium Slow,"50% male, 50% female",60,70,65,125,105,90
Cranidos,Rock,Head Butt Pokémon,0.9,31.5,1. Mold BreakerSheer Force (hidden ability),45,50,70,Erratic,"87.5% male, 12.5% female",67,125,40,30,30,58
Rampardos,Rock,Head Butt Pokémon,1.6,102.5,1. Mold BreakerSheer Force (hidden ability),45,50,173,Erratic,"87.5% male, 12.5% female",97,165,60,65,50,58
Shieldon,Rock Steel,Shield Pokémon,0.5,57,1. SturdySoundproof (hidden ability),45,50,70,Erratic,"87.5% male, 12.5% female",30,42,118,42,88,30
Bastiodon,Rock Steel,Shield Pokémon,1.3,149.5,1. SturdySoundproof (hidden ability),45,50,173,Erratic,"87.5% male, 12.5% female",60,52,168,47,138,30
Burmy,Bug,Bagworm Pokémon,0.2,3.4,Shed Skin Overcoat,120,50,45,Medium Fast,"50% male, 50% female",40,29,45,29,45,36
Wormadam,Bug Steel,Bagworm Pokémon,0.5,6.5,Anticipation Overcoat,45,50,148,Medium Fast,"0% male, 100% female",60,69,95,69,95,36
Mothim,Bug Flying,Moth Pokémon,0.9,23.3,1. SwarmTinted Lens (hidden ability),45,50,148,Medium Fast,"100% male, 0% female",70,94,50,94,50,66
Combee,Bug Flying,Tiny Bee Pokémon,0.3,5.5,1. Honey GatherHustle (hidden ability),120,50,49,Medium Slow,"87.5% male, 12.5% female",30,30,42,30,42,70
Vespiquen,Bug Flying,Beehive Pokémon,1.2,38.5,1. PressureUnnerve (hidden ability),45,50,166,Medium Slow,"0% male, 100% female",70,80,102,80,102,40
Pachirisu,Electric,EleSquirrel Pokémon,0.4,3.9,1. Run Away2. PickupVolt Absorb (hidden ability),200,100,142,Medium Fast,"50% male, 50% female",60,45,70,45,90,95
Buizel,Water,Sea Weasel Pokémon,0.7,29.5,1. Swift SwimWater Veil (hidden ability),190,50,66,Medium Fast,"50% male, 50% female",55,65,35,60,30,85
Floatzel,Water,Sea Weasel Pokémon,1.1,33.5,1. Swift SwimWater Veil (hidden ability),75,50,173,Medium Fast,"50% male, 50% female",85,105,55,85,50,115
Cherubi,Grass,Cherry Pokémon,0.4,3.3,1. Chlorophyll,190,50,55,Medium Fast,"50% male, 50% female",45,35,45,62,53,35
Cherrim,Grass,Blossom Pokémon,0.5,9.3,1. Flower Gift,75,50,158,Medium Fast,"50% male, 50% female",70,60,70,87,78,85
Shellos,Water,Sea Slug Pokémon,0.3,6.3,1. Sticky Hold2. Storm DrainSand Force (hidden ability),190,50,65,Medium Fast,"50% male, 50% female",76,48,48,57,62,34
Gastrodon,Water Ground,Sea Slug Pokémon,0.9,29.9,1. Sticky Hold2. Storm DrainSand Force (hidden ability),75,50,166,Medium Fast,"50% male, 50% female",111,83,68,92,82,39
Ambipom,Normal,Long Tail Pokémon,1.2,20.3,1. Technician2. PickupSkill Link (hidden ability),45,100,169,Fast,"50% male, 50% female",75,100,66,60,66,115
Drifloon,Ghost Flying,Balloon Pokémon,0.4,1.2,1. Aftermath2. UnburdenFlare Boost (hidden ability),125,50,70,Fluctuating,"50% male, 50% female",90,50,34,60,44,70
Drifblim,Ghost Flying,Blimp Pokémon,1.2,15,1. Aftermath2. UnburdenFlare Boost (hidden ability),60,50,174,Fluctuating,"50% male, 50% female",150,80,44,90,54,80
Buneary,Normal,Rabbit Pokémon,0.4,5.5,1. Run Away2. KlutzLimber (hidden ability),190,0,70,Medium Fast,"50% male, 50% female",55,66,44,44,56,85
Lopunny,Normal Fighting,Rabbit Pokémon,1.3,28.3,Scrappy,60,140,203,Medium Fast,"50% male, 50% female",65,136,94,54,96,135
Mismagius,Ghost,Magical Pokémon,0.9,4.4,1. Levitate,45,35,173,Fast,"50% male, 50% female",60,60,60,105,105,105
Honchkrow,Dark Flying,Big Boss Pokémon,0.9,27.3,1. Insomnia2. Super LuckMoxie (hidden ability),30,35,177,Medium Slow,"50% male, 50% female",100,125,52,105,52,71
Glameow,Normal,Catty Pokémon,0.5,3.9,1. Limber2. Own TempoKeen Eye (hidden ability),190,50,62,Fast,"25% male, 75% female",49,55,42,42,37,85
Purugly,Normal,Tiger Cat Pokémon,1,43.8,1. Thick Fat2. Own TempoDefiant (hidden ability),75,50,158,Fast,"25% male, 75% female",71,82,64,64,59,112
Chingling,Psychic,Bell Pokémon,0.2,0.6,1. Levitate,120,50,57,Fast,"50% male, 50% female",45,30,50,65,50,45
Stunky,Poison Dark,Skunk Pokémon,0.4,19.2,1. Stench2. AftermathKeen Eye (hidden ability),225,50,66,Medium Fast,"50% male, 50% female",63,63,47,41,41,74
Skuntank,Poison Dark,Skunk Pokémon,1,38,1. Stench2. AftermathKeen Eye (hidden ability),60,50,168,Medium Fast,"50% male, 50% female",103,93,67,71,61,84
Bronzor,Steel Psychic,Bronze Pokémon,0.5,60.5,1. Levitate2. HeatproofHeavy Metal (hidden ability),255,50,60,Medium Fast,Genderless,57,24,86,24,86,23
Bronzong,Steel Psychic,Bronze Bell Pokémon,1.3,187,1. Levitate2. HeatproofHeavy Metal (hidden ability),90,50,175,Medium Fast,Genderless,67,89,116,79,116,33
Bonsly,Rock,Bonsai Pokémon,0.5,15,1. Sturdy2. Rock HeadRattled (hidden ability),255,50,58,Medium Fast,"50% male, 50% female",50,80,95,10,45,10
Happiny,Normal,Playhouse Pokémon,0.6,24.4,1. Natural Cure2. Serene GraceFriend Guard (hidden ability),130,140,110,Fast,"0% male, 100% female",100,5,5,15,65,30
Chatot,Normal Flying,Music Note Pokémon,0.5,1.9,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),30,35,144,Medium Slow,"50% male, 50% female",76,65,45,92,42,91
Spiritomb,Ghost Dark,Forbidden Pokémon,1,108,1. PressureInfiltrator (hidden ability),100,50,170,Medium Fast,"50% male, 50% female",50,92,108,92,108,35
Gible,Dragon Ground,Land Shark Pokémon,0.7,20.5,1. Sand VeilRough Skin (hidden ability),45,50,60,Slow,"50% male, 50% female",58,70,45,40,45,42
Gabite,Dragon Ground,Cave Pokémon,1.4,56,1. Sand VeilRough Skin (hidden ability),45,50,144,Slow,"50% male, 50% female",68,90,65,50,55,82
Garchomp,Dragon Ground,Mach Pokémon,1.9,95,Sand Force,45,50,315,Slow,"50% male, 50% female",108,170,115,120,95,92
Munchlax,Normal,Big Eater Pokémon,0.6,105,1. Pickup2. Thick FatGluttony (hidden ability),50,50,78,Slow,"87.5% male, 12.5% female",135,85,40,40,85,5
Riolu,Fighting,Emanation Pokémon,0.7,20.2,1. Steadfast2. Inner FocusPrankster (hidden ability),75,50,57,Medium Slow,"87.5% male, 12.5% female",40,70,40,35,40,60
Lucario,Fighting Steel,Aura Pokémon,1.3,57.5,Adaptability,45,50,219,Medium Slow,"87.5% male, 12.5% female",70,145,88,140,70,112
Hippopotas,Ground,Hippo Pokémon,0.8,49.5,1. Sand StreamSand Force (hidden ability),140,50,66,Slow,"50% male, 50% female",68,72,78,38,42,32
Hippowdon,Ground,Heavyweight Pokémon,2,300,1. Sand StreamSand Force (hidden ability),60,50,184,Slow,"50% male, 50% female",108,112,118,68,72,47
Skorupi,Poison Bug,Scorpion Pokémon,0.8,12,1. Battle Armor2. SniperKeen Eye (hidden ability),120,50,66,Slow,"50% male, 50% female",40,50,90,30,55,65
Drapion,Poison Dark,Ogre Scorp Pokémon,1.3,61.5,1. Battle Armor2. SniperKeen Eye (hidden ability),45,50,175,Slow,"50% male, 50% female",70,90,110,60,75,95
Croagunk,Poison Fighting,Toxic Mouth Pokémon,0.7,23,1. Anticipation2. Dry SkinPoison Touch (hidden ability),140,100,60,Medium Fast,"50% male, 50% female",48,61,40,61,40,50
Toxicroak,Poison Fighting,Toxic Mouth Pokémon,1.3,44.4,1. Anticipation2. Dry SkinPoison Touch (hidden ability),75,50,172,Medium Fast,"50% male, 50% female",83,106,65,86,65,85
Carnivine,Grass,Bug Catcher Pokémon,1.4,27,1. Levitate,200,50,159,Slow,"50% male, 50% female",74,100,72,90,72,46
Finneon,Water,Wing Fish Pokémon,0.4,7,1. Swift Swim2. Storm DrainWater Veil (hidden ability),190,50,66,Erratic,"50% male, 50% female",49,49,56,49,61,66
Lumineon,Water,Neon Pokémon,1.2,24,1. Swift Swim2. Storm DrainWater Veil (hidden ability),75,50,161,Erratic,"50% male, 50% female",69,69,76,69,86,91
Mantyke,Water Flying,Kite Pokémon,1,65,1. Swift Swim2. Water AbsorbWater Veil (hidden ability),25,50,69,Slow,"50% male, 50% female",45,20,50,60,120,50
Snover,Grass Ice,Frost Tree Pokémon,1,50.5,1. Snow WarningSoundproof (hidden ability),120,50,67,Slow,"50% male, 50% female",60,62,50,62,60,40
Abomasnow,Grass Ice,Frost Tree Pokémon,2.7,185,Snow Warning,60,50,208,Slow,"50% male, 50% female",90,132,105,132,105,30
Weavile,Dark Ice,Sharp Claw Pokémon,1.1,34,1. PressurePickpocket (hidden ability),45,35,179,Medium Slow,"50% male, 50% female",70,120,65,45,85,125
Magnezone,Electric Steel,Magnet Area Pokémon,1.2,180,1. Magnet Pull2. SturdyAnalytic (hidden ability),30,50,268,Medium Fast,Genderless,70,70,115,130,90,60
Lickilicky,Normal,Licking Pokémon,1.7,140,1. Own Tempo2. ObliviousCloud Nine (hidden ability),30,50,180,Medium Fast,"50% male, 50% female",110,85,95,80,95,50
Rhyperior,Ground Rock,Drill Pokémon,2.4,282.8,1. Lightning Rod2. Solid RockReckless (hidden ability),30,50,241,Slow,"50% male, 50% female",115,140,130,55,55,40
Tangrowth,Grass,Vine Pokémon,2,128.6,1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),30,50,187,Medium Fast,"50% male, 50% female",100,100,125,110,50,50
Electivire,Electric,Thunderbolt Pokémon,1.8,138.6,1. Motor DriveVital Spirit (hidden ability),30,50,243,Medium Fast,"75% male, 25% female",75,123,67,95,85,95
Magmortar,Fire,Blast Pokémon,1.6,68,1. Flame BodyVital Spirit (hidden ability),30,50,243,Medium Fast,"75% male, 25% female",75,95,67,125,95,83
Togekiss,Fairy Flying,Jubilee Pokémon,1.5,38,1. Hustle2. Serene GraceSuper Luck (hidden ability),30,50,245,Fast,"87.5% male, 12.5% female",85,50,95,120,115,80
Yanmega,Bug Flying,Ogre Darner Pokémon,1.9,51.5,1. Speed Boost2. Tinted LensFrisk (hidden ability),30,50,180,Medium Fast,"50% male, 50% female",86,76,86,116,56,95
Leafeon,Grass,Verdant Pokémon,1,25.5,1. Leaf GuardChlorophyll (hidden ability),45,35,184,Medium Fast,"87.5% male, 12.5% female",65,110,130,60,65,95
Glaceon,Ice,Fresh Snow Pokémon,0.8,25.9,1. Snow CloakIce Body (hidden ability),45,35,184,Medium Fast,"87.5% male, 12.5% female",65,60,110,130,95,65
Gliscor,Ground Flying,Fang Scorp Pokémon,2,42.5,1. Hyper Cutter2. Sand VeilPoison Heal (hidden ability),30,50,179,Medium Slow,"50% male, 50% female",75,95,125,45,75,95
Mamoswine,Ice Ground,Twin Tusk Pokémon,2.5,291,1. Oblivious2. Snow CloakThick Fat (hidden ability),50,50,239,Slow,"50% male, 50% female",110,130,80,70,60,80
Porygon-Z,Normal,Virtual Pokémon,0.9,34,1. Adaptability2. DownloadAnalytic (hidden ability),30,50,241,Medium Fast,Genderless,85,80,70,135,75,90
Gallade,Psychic Fighting,Blade Pokémon,1.6,56.4,Inner Focus,45,35,278,Slow,"100% male, 0% female",68,165,95,65,115,110
Probopass,Rock Steel,Compass Pokémon,1.4,340,1. Sturdy2. Magnet PullSand Force (hidden ability),60,50,184,Medium Fast,"50% male, 50% female",60,55,145,75,150,40
Dusknoir,Ghost,Gripper Pokémon,2.2,106.6,1. PressureFrisk (hidden ability),45,35,236,Fast,"50% male, 50% female",45,100,135,65,135,45
Froslass,Ice Ghost,Snow Land Pokémon,1.3,26.6,1. Snow CloakCursed Body (hidden ability),75,50,168,Medium Fast,"0% male, 100% female",70,80,70,80,70,110
Rotom,Electric Grass,Plasma Pokémon,0.3,0.3,Levitate,45,50,182,Medium Fast,Genderless,50,65,107,105,107,86
Uxie,Psychic,Knowledge Pokémon,0.3,0.3,1. Levitate,3,140,290,Slow,Genderless,75,75,130,75,130,95
Mesprit,Psychic,Emotion Pokémon,0.3,0.3,1. Levitate,3,140,290,Slow,Genderless,80,105,105,105,105,80
Azelf,Psychic,Willpower Pokémon,0.3,0.3,1. Levitate,3,140,290,Slow,Genderless,75,125,70,125,70,115
Dialga,Steel Dragon,Temporal Pokémon,7,850,Pressure Telepathy,3,0,340,Slow,Genderless,100,100,120,150,120,90
Palkia,Water Dragon,Spatial Pokémon,6.3,660,Pressure Telepathy,3,0,340,Slow,Genderless,90,100,100,150,120,120
Heatran,Fire Steel,Lava Dome Pokémon,1.7,430,1. Flash FireFlame Body (hidden ability),3,100,300,Slow,"50% male, 50% female",91,90,106,130,106,77
Regigigas,Normal,Colossal Pokémon,3.7,420,1. Slow Start,3,0,302,Slow,Genderless,110,160,110,80,110,100
Giratina,Ghost Dragon,Renegade Pokémon,6.9,650,Levitate,3,0,340,Slow,Genderless,150,120,100,120,100,90
Cresselia,Psychic,Lunar Pokémon,1.5,85.6,1. Levitate,3,100,290,Slow,"0% male, 100% female",120,70,110,75,120,85
Phione,Water,Sea Drifter Pokémon,0.4,3.1,1. Hydration,30,50,216,Slow,Genderless,80,80,80,80,80,80
Manaphy,Water,Seafaring Pokémon,0.3,1.4,1. Hydration,3,50,270,Slow,Genderless,100,100,100,100,100,100
Darkrai,Dark,Pitch-Black Pokémon,1.5,50.5,1. Bad Dreams,3,0,270,Slow,Genderless,70,90,90,135,90,125
Shaymin,Grass Flying,Gratitude Pokémon,0.4,5.2,Serene Grace,45,100,270,Medium Slow,Genderless,100,103,75,120,75,127
Arceus,Normal,Alpha Pokémon,3.2,320,1. Multitype,3,0,360,Slow,Genderless,120,120,120,120,120,120
Victini,Psychic Fire,Victory Pokémon,0.4,4,1. Victory Star,3,100,270,Slow,Genderless,100,100,100,100,100,100
Snivy,Grass,Grass Snake Pokémon,0.6,8.1,1. OvergrowContrary (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",45,45,55,45,55,63
Servine,Grass,Grass Snake Pokémon,0.8,16,1. OvergrowContrary (hidden ability),45,50,145,Medium Slow,"87.5% male, 12.5% female",60,60,75,60,75,83
Serperior,Grass,Regal Pokémon,3.3,63,1. OvergrowContrary (hidden ability),45,50,238,Medium Slow,"87.5% male, 12.5% female",75,75,95,75,95,113
Tepig,Fire,Fire Pig Pokémon,0.5,9.9,1. BlazeThick Fat (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",65,63,45,45,45,45
Pignite,Fire Fighting,Fire Pig Pokémon,1,55.5,1. BlazeThick Fat (hidden ability),45,50,146,Medium Slow,"87.5% male, 12.5% female",90,93,55,70,55,55
Emboar,Fire Fighting,Mega Fire Pig Pokémon,1.6,150,1. BlazeReckless (hidden ability),45,50,238,Medium Slow,"87.5% male, 12.5% female",110,123,65,100,65,65
Oshawott,Water,Sea Otter Pokémon,0.5,5.9,1. TorrentShell Armor (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",55,55,45,63,45,45
Dewott,Water,Discipline Pokémon,0.8,24.5,1. TorrentShell Armor (hidden ability),45,50,145,Medium Slow,"87.5% male, 12.5% female",75,75,60,83,60,60
Samurott,Water Dark,Formidable Pokémon,1.5,58.2,Torrent Sharpness,45,50,264,Medium Slow,"87.5% male, 12.5% female",90,108,80,100,65,85
Patrat,Normal,Scout Pokémon,0.5,11.6,1. Run Away2. Keen EyeAnalytic (hidden ability),255,50,51,Medium Fast,"50% male, 50% female",45,55,39,35,39,42
Watchog,Normal,Lookout Pokémon,1.1,27,1. Illuminate2. Keen EyeAnalytic (hidden ability),255,50,147,Medium Fast,"50% male, 50% female",60,85,69,60,69,77
Lillipup,Normal,Puppy Pokémon,0.4,4.1,1. Vital Spirit2. PickupRun Away (hidden ability),255,50,55,Medium Slow,"50% male, 50% female",45,60,45,25,45,55
Herdier,Normal,Loyal Dog Pokémon,0.9,14.7,1. Intimidate2. Sand RushScrappy (hidden ability),120,50,130,Medium Slow,"50% male, 50% female",65,80,65,35,65,60
Stoutland,Normal,Big-Hearted Pokémon,1.2,61,1. Intimidate2. Sand RushScrappy (hidden ability),45,50,225,Medium Slow,"50% male, 50% female",85,110,90,45,90,80
Purrloin,Dark,Devious Pokémon,0.4,10.1,1. Limber2. UnburdenPrankster (hidden ability),255,50,56,Medium Fast,"50% male, 50% female",41,50,37,50,37,66
Liepard,Dark,Cruel Pokémon,1.1,37.5,1. Limber2. UnburdenPrankster (hidden ability),90,50,156,Medium Fast,"50% male, 50% female",64,88,50,88,50,106
